# File generated by CMD 3.9 (http://stev.oapd.inaf.it/cmd) on Wed Jun 24 20:05:12 UTC 2026
# isochrones based on PARSEC release v1.2S +  COLIBRI S_37 + S_35 + PR16
# Basic references: Bressan et al. (2012), MNRAS, 427, 127 + Chen et al. (2014, 2015), MNRAS, 444, 2525 + MNRAS, 452, 1068 + Tang et al. (2014), MNRAS, 445, 4287 + Marigo et al. (2017), ApJ, 835, 77 + Pastorelli al. (2019), MNRAS, 485, 5666 + Pastorelli al. (2020), MNRAS, in press
# Thermal pulse cycles included 
# On RGB, assumed Reimers mass loss with efficiency eta=0.2
# LPV periods and growth rates added cf. Trabucchi et al. (2019)
# but fundamental-mode LPV periods + transition are from Trabucchi et al. (2021)
# Photometric system: Gaia EDR3 (all Vegamags, Gaia passbands from ESA/Gaia website)
# Attention: photometry includes extinction of Av=0.63, with coefficients derived star-by-star, for Cardelli et al 89 + O'Donnell 94 Rv=3.1 extinction curve.
# Using YBC version of bolometric corrections as in Chen et al. (2019)
# O-rich circumstellar dpmod60alox40 dust from Groenewegen (2006)
# C-rich circumstellar AMCSIC15 dust from Groenewegen (2006)
# IMF: Kroupa (2001, 2002) + Kroupa et al. (2013) canonical two-part-power law IMF corrected for unresolved binaries 
# Kind of output: isochrone tables
# Zini     MH   logAge Mini        int_IMF         Mass   logL    logTe  logg  label   McoreTP C_O  period0  period1  period2  period3  period4  pmode  Mloss  tau1m   X   Y   Xc  Xn  Xo  Cexcess  Z 	 mbolmag  Gmag    G_BPmag  G_RPmag
0.006 -0.40400 7.07918 0.0900000036 1.0816895926    0.090 -2.043  3.4379  4.139    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -3.28e-15      0.00 7.349e-01 2.591e-01 1.079e-03 2.911e-04 2.640e-03 -1.000 6.000e-03 9.877 11.805 14.301 10.395
0.006 -0.40400 7.07918 0.0983313918 1.1570148252    0.098 -1.989  3.4446  4.150    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1  -3.5e-15      0.00 7.349e-01 2.591e-01 1.079e-03 2.911e-04 2.640e-03 -1.000 6.000e-03 9.742 11.604 14.000 10.210
0.006 -0.40400 7.07918 0.0992424265 1.1647467926    0.099 -1.983  3.4453  4.151    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -3.53e-15      0.00 7.349e-01 2.591e-01 1.079e-03 2.911e-04 2.640e-03 -1.000 6.000e-03 9.728 11.583 13.969 10.191
0.006 -0.40400 7.07918 0.1056648120 1.2167563692    0.106 -1.945  3.4497  4.158    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1  -3.7e-15      0.00 7.349e-01 2.591e-01 1.079e-03 2.911e-04 2.640e-03 -1.000 6.000e-03 9.634 11.446 13.768 10.065
0.006 -0.40400 7.07918 0.1177272722 1.3041497160    0.117 -1.878  3.4571  4.167    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -4.05e-15      0.00 7.349e-01 2.591e-01 1.079e-03 2.911e-04 2.640e-03 -1.000 6.000e-03 9.466 11.206 13.413 9.845
0.006 -0.40400 7.07918 0.1351980120 1.4119587120    0.135 -1.793  3.4662  4.178    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -4.54e-15      0.00 7.349e-01 2.591e-01 1.079e-03 2.911e-04 2.640e-03 -1.000 6.000e-03 9.253 10.909 12.988 9.573
0.006 -0.40400 7.07918 0.1362121254 1.4176547699    0.136 -1.788  3.4667  4.178    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -4.57e-15      0.00 7.349e-01 2.591e-01 1.079e-03 2.911e-04 2.640e-03 -1.000 6.000e-03 9.241 10.893 12.965 9.559
0.006 -0.40400 7.07918 0.1494698524 1.4873955278    0.149 -1.730  3.4726  4.184    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -4.96e-15      0.00 7.349e-01 2.591e-01 1.079e-03 2.911e-04 2.640e-03 -1.000 6.000e-03 9.095 10.695 12.690 9.377
0.006 -0.40400 7.07918 0.1575825363 1.5262229166    0.157 -1.697  3.4759  4.187    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -5.19e-15      0.00 7.349e-01 2.591e-01 1.079e-03 2.911e-04 2.640e-03 -1.000 6.000e-03 9.013 10.584 12.537 9.276
0.006 -0.40400 7.07918 0.1678966582 1.5719915783    0.167 -1.656  3.4799  4.190    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -5.48e-15      0.00 7.349e-01 2.591e-01 1.079e-03 2.911e-04 2.640e-03 -1.000 6.000e-03 8.911 10.449 12.352 9.151
0.006 -0.40400 7.07918 0.1727838367 1.5924207153    0.172 -1.638  3.4817  4.191    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -5.62e-15      0.00 7.349e-01 2.591e-01 1.079e-03 2.911e-04 2.640e-03 -1.000 6.000e-03 8.866 10.389 12.270 9.096
0.006 -0.40400 7.07918 0.1786779016 1.6160817126    0.178 -1.616  3.4838  4.192    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -5.84e-15      0.00 7.349e-01 2.591e-01 1.079e-03 2.911e-04 2.640e-03 -1.000 6.000e-03 8.810 10.317 12.171 9.030
0.006 -0.40400 7.07918 0.2048291862 1.7100096610    0.204 -1.530  3.4924  4.199    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -6.61e-15      0.00 7.349e-01 2.591e-01 1.079e-03 2.911e-04 2.640e-03 -1.000 6.000e-03 8.595 10.035 11.789 8.772
0.006 -0.40400 7.07918 0.2233628184 1.7676113150    0.222 -1.476  3.4976  4.204    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -7.12e-15      0.00 7.349e-01 2.591e-01 1.079e-03 2.911e-04 2.640e-03 -1.000 6.000e-03 8.461 9.862 11.562 8.613
0.006 -0.40400 7.07918 0.2411060184 1.8172137689    0.240 -1.430  3.5023  4.209    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -7.58e-15      0.00 7.349e-01 2.591e-01 1.079e-03 2.911e-04 2.640e-03 -1.000 6.000e-03 8.345 9.713 11.365 8.477
0.006 -0.40400 7.07918 0.2656178474 1.8784316995    0.264 -1.369  3.5088  4.217    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -8.23e-15      0.00 7.349e-01 2.591e-01 1.079e-03 2.911e-04 2.640e-03 -1.000 6.000e-03 8.193 9.517 11.105 8.299
0.006 -0.40400 7.07918 0.2840909064 1.9199089181    0.283 -1.327  3.5134  4.222    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -8.73e-15      0.00 7.349e-01 2.591e-01 1.079e-03 2.911e-04 2.640e-03 -1.000 6.000e-03 8.086 9.380 10.925 8.175
0.006 -0.40400 7.07918 0.2953076363 1.9434201558    0.294 -1.303  3.5159  4.226    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -8.99e-15      0.00 7.349e-01 2.591e-01 1.079e-03 2.911e-04 2.640e-03 -1.000 6.000e-03 8.028 9.305 10.827 8.107
0.006 -0.40400 7.07918 0.3303030431 2.0099003913    0.329 -1.234  3.5233  4.235    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -9.88e-15      0.00 7.349e-01 2.591e-01 1.079e-03 2.911e-04 2.640e-03 -1.000 6.000e-03 7.854 9.084 10.541 7.907
0.006 -0.40400 7.07918 0.3468036056 2.0381473587    0.346 -1.205  3.5264  4.239    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -1.03e-14      0.00 7.349e-01 2.591e-01 1.079e-03 2.911e-04 2.640e-03 -1.000 6.000e-03 7.781 8.993 10.424 7.824
0.006 -0.40400 7.07918 0.3765151799 2.0848521217    0.376 -1.155  3.5317  4.246    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1  -1.1e-14      0.00 7.349e-01 2.591e-01 1.079e-03 2.911e-04 2.640e-03 -1.000 6.000e-03 7.656 8.837 10.226 7.682
0.006 -0.40400 7.07918 0.4227272868 2.1487074326    0.422 -1.083  3.5395  4.256    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1  -1.2e-14      0.00 7.349e-01 2.591e-01 1.079e-03 2.911e-04 2.640e-03 -1.000 6.000e-03 7.477 8.613 9.943 7.479
0.006 -0.40400 7.07918 0.4658883512 2.2006440740    0.465 -1.023  3.5466  4.267    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1  -1.3e-14      0.00 7.349e-01 2.591e-01 1.079e-03 2.911e-04 2.640e-03 -1.000 6.000e-03 7.328 8.426 9.706 7.311
0.006 -0.40400 7.07918 0.4689394236 2.2040773004    0.468 -1.019  3.5470  4.268    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -1.31e-14      0.00 7.349e-01 2.591e-01 1.079e-03 2.911e-04 2.640e-03 -1.000 6.000e-03 7.318 8.413 9.690 7.299
0.006 -0.40400 7.07918 0.5000687838 2.2375250480    0.499 -0.977  3.5523  4.275    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -1.38e-14      0.00 7.349e-01 2.591e-01 1.079e-03 2.911e-04 2.640e-03 -1.000 6.000e-03 7.213 8.279 9.520 7.180
